"",,Colombian,,Brazilian,
"",I-CIP,,Other Milds,,Robustas
"",,Milds,,Naturals,
02-Sep,241.71,265.38,260.21,239.79,224.69
03-Sep,241.20,264.48,259.50,239.13,224.54
04-Sep,245.35,266.69,260.63,241.03,233.05
05-Sep,249.73,269.06,268.61,247.93,233.82
06-Sep,243.88,262.39,261.53,241.58,229.40
09-Sep,247.47,269.31,268.28,246.38,228.99
10-Sep,251.18,272.41,271.39,250.57,232.83
11-Sep,252.78,272.00,270.98,250.20,237.98
12-Sep,255.22,273.63,273.58,252.47,240.75
13-Sep,265.67,283.72,283.53,262.78,251.73
16-Sep,264.57,282.28,282.63,261.62,250.68
17-Sep,269.45,288.40,288.74,267.76,253.35
18-Sep,269.47,288.21,288.56,267.49,253.80
19-Sep,265.09,283.29,284.33,262.25,250.24
20-Sep,255.28,273.05,274.57,252.01,240.91
23-Sep,266.78,285.87,287.35,264.47,250.41
24-Sep,269.83,289.78,291.26,267.94,252.30
25-Sep,270.09,291.55,293.03,270.32,249.36
26-Sep,272.70,296.96,296.29,274.52,249.30
27-Sep,268.97,292.23,291.25,269.86,247.45
30-Sep,270.37,294.02,292.80,271.99,248.00
